key,Narration,Candidate
fake_30,"('RECEIVED TRANSFER    SHIVHARE AIRWAYS PRIVATE LIMITED', 'received from Shivhare Limited')",
fake_31,"('RECEIVED TRANSFER    ADMINISTRATIVE SERVICES', 'Received from administrative services department')",
fake_32,"('RECEIVED TRANSFER    AVIATION ONLINE SERVICES', 'received from online aviation services')",
fake_33,"('RECEIVED TRANSFER    ARROW AVIATION LTD', 'Received from AAL')",
fake_34,"('RECEIVED TRANSFER    BHAVIK PANDYA', 'received from bp for contractual services')",
fake_35,"('RECEIVED TRANSFER    BLUE WHALE SHIPPING', 'Received from Blue Whale Shipping agency')",
fake_36,"('RECEIVED TRANSFER DEEPAK SHARMA', 'Received from Deepak Sharma for service rendered')",
fake_37,"('RECEIVED TRANSFER    REKHA ENTERPRISES', 'received from Rekha enterprises')",
fake_38,"('RECEIVED TRANSFER    AIR AUTOMOTIVE LIMITED', 'J876200675223 /TYPE/776/RCVD TRF//CODE/IN/000//REM')",
fake_39,"('RECEIVED TRANSFER    SKYNET AVIATION PVT  LTD', 'Received from Skynet')",
fake_40,"('RECEIVED TRANSFER    OPERATIONAL SOLUTIONS LTD', 'received from Operations solutions limited')",
fake_41,"('RECEIVED TRANSFER    APOGEE SERVICES', 'Pal received payments from Apogee')",
fake_42,"('RECEIVED TRANSFER    CONTINENTAL MOTORS SERVICES PVT LTD', 'received from Continental motors PVT LTD')",
fake_43,"('RECEIVED TRANSFER   NIKHIL BANSAL', 'Received from NB - freelance services')",
fake_44,"('RECEIVED TRANSFER    WATERWAYS LIMITED', 'Z292400675522 /TYPE/776/RCVD TRF//CODE/IN/000//REM')",
fake_45,"('RECEIVED TRANSFER    AIRPORT CARGO SERVICE', 'received from ACS')",
fake_46,"('RECEIVED TRANSFER SANJIV KUMAR', 'Payment received from SK for consultation')",
fake_47,"('RECEIVED TRANSFER    RAINBOW AIRWAYS LIMITED', 'Received payment from Rainbow Airways')",
fake_48,"('RECEIVED TRANSFER    TRIO AVIATION PVT LTD', '156900123061 /TYPE/776/RCVD TRF//CODE/IN/000//ORD')",
fake_49,"('RECEIVED TRANSFER    STATIC ENTERPRISES', 'Received from Static enterprises')",
fake_50,"('RECEIVED TRANSFER    VIJAY PATEL', 'received from VP for app dev')",
fake_51,"('RECEIVED TRANSFER    ACE CARGO PRIVATE LIMITED', 'Received from ACE Cargo Pvt Ltd')",
fake_52,"('RECEIVED TRANSFER RAHUL BANSAL', 'Received from RB for Designing services')",
fake_53,"('RECEIVED TRANSFER    HAWK HELICOPTER SERVICES PVT LTD', 'payment received from Hawk Pvt Ltd')",
fake_54,"('RECEIVED TRANSFER    ENHANCING SERVICES', 'N981918120300 /TYPE/776/RCVD TRF//CODE/IN/000//ORD')",
fake_55,"('RECEIVED TRANSFER    ERICA AIRLINES', 'received from Erica')",
fake_56,"('RECEIVED TRANSFER SUNITA AGARWAL', 'Payment received from SA for services')",
fake_57,"('RECEIVED TRANSFER    RED OCEAN MARITIME CO', 'Received from Red ocean maritime')",
fake_58,"('RECEIVED TRANSFER    COMPREHENSIVE AVIATION', '690098768468 /TYPE/776/RCVD TRF//CODE/IN/000//ORD')",
fake_59,"('RECEIVED TRANSFER    SUPREME AIRWAYS', 'received from Supreme airways')",
fake_60,"('RECEIVED TRANSFER SHALINI GUPTA', 'Received from SG for legal help')",
fake_61,"('RECEIVED TRANSFER    FLIGHT SERVICES INTERNATIONAL', 'Received from flight services Intern.')",
fake_62,"('RECEIVED TRANSFER    ATLAS AVIATION LTD', 'received from Atlas Limited')",
fake_63,"('RECEIVED TRANSFER    DISCOVERY AVIATION PVT LTD', 'Q681900123061 /TYPE/776/RCVD TRF//CODE/IN/000//ORD')",
fake_64,"('RECEIVED TRANSFER AMARDEEP SINGH', 'Received from AS for online course')",
fake_65,"('RECEIVED TRANSFER    SKY HIGH HELICOPTERS', 'received from SHH')",
fake_66,"('RECEIVED TRANSFER    HORIZON AIRLINE COMPANY LIMITED', 'M987831899123 /TYPE/776/RCVD TRF//CODE/IN/000//ORD')",
fake_67,"('RECEIVED TRANSFER VINOD MEHTA', 'Received from VM for writing services')",
fake_68,"('RECEIVED TRANSFER    SWIFT AIR SERVICES LIMITED', 'Received payment from Swift air ltd.')",
fake_69,"('RECEIVED TRANSFER    COSMIC AVIATION SERVICES', 'received from Cosmic Aviation')",
fake_70,"('RECEIVED TRANSFER    TITAN AIRLINES LTD', 'Payment from Titan Ltd')",
fake_71,"('RECEIVED TRANSFER MANISH KAPOOR', 'Received from MK for marketing services')",
fake_72,"('RECEIVED TRANSFER    CRUISE AIRLINES LIMITED', 'received from Cruise Ltd')",
fake_73,"('RECEIVED TRANSFER    VICTORY AIRWAYS', 'Received from Victory AW')",
fake_74,"('RECEIVED TRANSFER RAKESH BALI', 'Payment from RB for technical services')",
fake_75,"('RECEIVED TRANSFER    AERIAL AVIATION SERVICES', 'received from Aerial Aviation Services')",
fake_76,"('RECEIVED TRANSFER RITESH PATHAK', 'Received from RP for software development')",
fake_77,"('RECEIVED TRANSFER    TURBO AIR INDIA PVT LTD', 'Received money from TAI Pvt Ltd.')",
fake_78,"('RECEIVED TRANSFER    KIWI AVIATION LTD', 'Payment from Kiwi Ltd')",
fake_79,"('RECEIVED TRANSFER    BROAD SKY AIRLINES', 'received from Broad Sky Co')",
fake_80,"('RECEIVED TRANSFER MANOJ KADAM', 'Received from MK for Media consultancy')",
fake_81,"('RECEIVED TRANSFER    NAVIGATOR SHIPPING LTD', 'payment from Navigator Shipping')",
fake_82,"('RECEIVED TRANSFER    CATALYST AVIATION PVT LTD', 'Received from Catalyst Ltd')",
fake_83,"('RECEIVED TRANSFER ARVIND YADAV', 'received from AY - sector 5 project')",
fake_84,"('RECEIVED TRANSFER    ALPHA HELICOPTERS PVT LTD', 'Received from Alpha heli Pvt Ltd')",
fake_85,"('RECEIVED TRANSFER    MERCURY MARINE SERVICES', 'payment from Mercury marine services')",
fake_86,"('RECEIVED TRANSFER KUNDAN KUMAR', 'Received from Kundan for accounting services')",
fake_87,"('RECEIVED TRANSFER    GRATITUDE AIRWAYS LTD', 'Payment from Gratitude Airways Ltd')",
fake_88,"('RECEIVED TRANSFER    MILKY WAY AVIATION LIMITED', 'received from Milky way Ltd.')",
fake_89,"('RECEIVED TRANSFER    JUPITER AIRWAYS', 'Received from Jupiter Airways')",
fake_90,"('RECEIVED TRANSFER SUSHIL RAHEJA', 'received from SR for digital campaigning')",
fake_91,"('RECEIVED TRANSFER    CAPELLA AIRWAYS', 'Payment from Capella Airways Co')",
fake_92,"('RECEIVED TRANSFER    EMPIRICAL AVIATION SERVICES', 'received from Empirical Aviation')",
fake_93,"('RECEIVED TRANSFER ASHISH THAKUR', 'Received grade payment from Ashish Thakur')",
fake_94,"('RECEIVED TRANSFER    GREENWICH AVIATION LIMITED', 'received from Greenwich Ltd')",
fake_95,"('RECEIVED TRANSFER    AQUILA AIRWAYS', 'Received payment from Aquila AW')",
fake_96,"('RECEIVED TRANSFER SUNIL KUMAR', 'received from SK for manuscript editing')",
fake_97,"('RECEIVED TRANSFER    CITADEL AVIATION SERVICES', 'payment from Citadel Aviation')",
fake_98,"('RECEIVED TRANSFER    FUSION AIRLINES LIMITED', 'Payment from Fusion Air Ltd')",
fake_99,"('RECEIVED TRANSFER RUPALI SAXENA', 'Payment received from RSax for web development')",
fake_100,"('RECEIVED TRANSFER    EPIC AIRLINES', 'Received from Epic airlines')",
fake_101,"('RECEIVED TRANSFER    FLUX AIRWAYS', 'Payment received from Flux AW')",
fake_102,"('RECEIVED TRANSFER    NIFTY AVIATION LTD', 'Payment from Nifty Aviation ltd')",
fake_103,"('RECEIVED TRANSFER    ARRAY AIRLINES LIMITED', 'Received from Array Air Limited')",
fake_104,"('RECEIVED TRANSFER    SPECTRUM AVIATION SERVICES PVT LTD', 'received from Spectrum Pvt Ltd')",
fake_105,"('RECEIVED TRANSFER MOHAN SINGH', 'TK received from Mohan Singh')",
fake_106,"('RECEIVED TRANSFER    HIGH TIDE SHIPPING LIMITED', 'received from High tide ltd')",
fake_107,"('RECEIVED TRANSFER    RADIUS AVIATION SERVICES', 'Payment from Radius Aviation ltd')",
fake_108,"('RECEIVED TRANSFER    VOYAGER AIRWAYS LTD', 'Received from Voyager AW')",
fake_109,"('RECEIVED TRANSFER ATUL AGARWAL', 'Received from Atul Agarwal for office rent')",
fake_110,"('RECEIVED TRANSFER    COSMO AIRLINES LIMITED', 'Payment received from Cosmo Limited')",
fake_111,"('RECEIVED TRANSFER    ORION AVIATION LTD', 'Received from Orion Ltd')",
fake_112,"('RECEIVED TRANSFER PARUL VERMA', 'Received from Parul Verma for photo editing')",
fake_113,"('RECEIVED TRANSFER    MOMENTUM AIRWAYS LTD', 'received money from Momentum AW')",
fake_114,"('RECEIVED TRANSFER    STERLING SHIPPING AND LOGISTICS LTD', 'Payment from SLL Ltd')",
fake_115,"('RECEIVED TRANSFER    APEX AIRLINES LIMITED', 'received from Apex airlines')",
fake_116,"('RECEIVED TRANSFER    SOLITARY AVIATION SERVICES', 'Received from Solitary Services')",
fake_117,"('RECEIVED TRANSFER    UNIQUE AIRWAYS', 'Payment from Unique AW')",
fake_118,"('RECEIVED TRANSFER PIYUSH ARORA', 'received from Piyush Arora for web hosting')",
fake_119,"('RECEIVED TRANSFER    LIGHT YEAR AVIATION LIMITED', 'Received from LYA Limited')",
fake_120,"('RECEIVED TRANSFER    ZOOM AIRWAYS LIMITED', 'Payment from Zoom Limited')",
fake_121,"('RECEIVED TRANSFER NITIN KHANNA', 'Payment remitted by Nitin K')",
fake_122,"('RECEIVED TRANSFER    CENTURY AVIATION SERVICES', 'Received from Century services')",
fake_123,"('RECEIVED TRANSFER    GALAXY AVIATION LTD', 'Payment received from Galaxy Ltd')",
fake_124,RECEIVED TRANSFER AKASH MEHTA,Payment from Akash Mehta for software purchase
fake_125,RTGS-HDFCR1234536284761-ESTABLISH BUILDERS,RTGS-HDFCR1234536284761-ESTABLISH BUILDERS PVT. LTD
fake_126,TRANSFER-INB LC Payment - 385000698,LC Payment via Transfer
fake_127,Return of Payment 029584839449-Lalitha Stores,Payment Return for Trans no: 029584839449
fake_128,Received Interbank Transfer - ELGIN SOFTWARE,Interbank Transfer Receipt from ELGIN SOFTWARE
fake_129,Closure Details : 031987264882,Closed Account no. 031987264882
fake_130,SBI TO ICICI TRANSFER,Transfer from SBI to ICICI
fake_131,Debit Return Charges for AC No. 098764359045,Charges for Debit Return - Account 098764359045
fake_132,RTGS Payment to MAGNUM Ops,RTGS-MAGNUM OPERATIONS
fake_133,Payment Received From ALPHA INDUSTRIES,Received Payment from ALPHA IND.
fake_134,CHQ Return Charges for 018946382016,Cheque Return Penalties for No. 018946382016
fake_135,Returned Check No. 039464859201,Check Return 039464859201
fake_136,Online Transfer FROM : Nutan Enterprises,Online Transfer Received from Nutan Enterprises
fake_137,NEFT-N98372949493433-METRO Steelworks,NEFT Transfer to METRO Steelworks
fake_138,0289435849 /Darcy Building /Evergreen Corporation,Transaction Code: 0289435849 /Evergreen Corporation
fake_139,Received from SKYLINE PHARMA,Funds Received - SKYLINE PHARMA.
fake_140,PRIYANKA Bank / TRANSFER,Transfer from PRIYANKA Bank
fake_141,Cheque Issue Charges: 028175808164/Quasar Tech.,Cheque Issuance Fee - Quasar Tech. Trans. 028175808164
fake_142,RTGS-MCABH10275410922-GENERINOX LIMITED,RTGS-MCABH10275410922-GENERINOX LTD-00140330006732-MCAB0000032
fake_143,HSBC to Axis Transfer 03478099884,Bank Transfer from HSBC to Axis Acc. 03478099884
fake_144,SOLAR INDUS: Payment to 028195989999,Payment Transaction: 028195989999 to SOLAR INDUSTRIES
fake_145,ICICI FDR no. 032150948738,Fixed Deposit Receipt - ICICI Bank Acc. 032150948738
fake_146,NEFT-INDBH552255029566-ADYAR CHEMICALS PVT LTD,INDBH552255029566 Transfer to ADYAR Chemicals
fake_147,Received Loan EMI from 67296201192,Loan EMI Received for Account 67296201192
fake_148,ICICI FDR no. 023910007037,Fixed Deposit account 023910007037 closed
fake_149,Investment Earnings from Fixed Deposit 0052567849,Fixed Deposit 0052567849 Earnings
fake_150,NEFT-N286113078448285-VARUN STEELS LTD,NEFT transfer to Varun Steels Ltd for order
fake_151,LC CHARGES,Letter of Credit Service Charges
fake_152,MUTHOOT MINI BANK - Transfer Received,Received Cash Transfer from MUTHOOT MINI BANK
fake_153,TDS on RD Interest,Tax Deducted at Source on Recurring Deposit Interest
fake_154,FD Closure Proceeds for A/C 326742926,Encashment of FD Account 326742926
fake_155,Fund Transfer To TRANS TECH SYSTEMS,Transferring amount to TRANS TECH SYSTEMS
fake_156,RTGS-344221021114-OMEGA HEALTHCARE-308802010985499,-RTGS-OMEGA HEALTHCARE-R.T.G.S
fake_157,Process fee for loan A/C 7563102901,Loan Processing chargse for Account 7563102901
fake_158,028505317862 / Bhatia Builders / Xanville Corporation,Transaction Code: 028505317862 / Xanville Corporation
fake_159,Fixed Deposit no. 032510685385,Closed Fixed Deposit 032510685385
fake_160,Received Loan EMI,Loan EMI Received for Account 329756232
fake_161,Received from MAGNUM TECHNOLOGY GROUP,Transaction Receipt from MAGNUM TECHNOLOGY GROUP
fake_162,Fixed Deposit Closure: 1045789028,Closure of Fixed Deposit Acc. 1045789028
fake_163,Received LC Payment from Ultimate Corp,LC Payment Received - Ultimate Corp
fake_164,Received Funds From Charlie Corp,Received from Charlie Corp
fake_165,ID: 3827384848 | Starbucks Coffee House LLC,3827384848/Starbucks Coffee House
fake_166,345894678 | Silicon Valley Real Estate,INF/INFT/345894678/Silicon Valley Real Estate
fake_167,12749873/Transfer to Walt Disney Corp,INF/INFT/12749873/Transfer to Walt Disney Corp
fake_168,Cook and Sons Meatworks,Payment received Cook and Sons Meatworks
fake_169,NEFT-6141254612-Bloomsbury Publishing,NEFT-6141254612-Bloomsbury Publishing House
fake_170,E-Transfer 4739408 - Amazon Services,Electronic Transfer - Amazon
fake_171,84291024/Closure Proceeds,HSBC FDR CLOSED NO. 84291024
fake_172,RTGS-5647262814265664-Adidas Retail,RTGS-5647262814265664-Adidas
fake_173,72654191/Apple Inc.,INF/INFT/72654191/Apple Inc.
fake_174,Closure Proceeds 987126541,Scotiabank FDR CLOSED NO. 987126541
fake_175,RECEIVED TRANSFER - MICROSOFT OFFICE,Received From Microsoft Corp
fake_176,536547891/Direct Deposit Employee Payroll,INF/INFT/536547891/Employee Payroll
fake_177,Auto Entry - B/OBS Tax Payment for Mar 22,NONREF/TYPE/997/AUTO D 4643-DTAX0322 Tax Payment
fake_178,NEFT-N917273640289764-Big Bazaar Supermarket,NEFT-N917273640289764-Big Bazaar-KIRBY-01541230067363-HDFC0000821
fake_179,Closing Process 72654271,Citibank FDR CLOSED NO. 72654271
fake_180,Etsy Transfer 62538472635345,INF/INFT/62538472635345/Etsy
fake_181,5643891274327/Closure Proceeds,Oman Bank FDR CLOSED NO. 5643891274327
fake_182,University Tuition Pay To Oxford University,PAYMENT SENT- Oxford University Tuition Fees
fake_183,NEFT-N87237297217-SpaceX Technology Co.,NEFT-N87237297217-SpaceX Tech
fake_184,Yorkshire Grocery Supplies,INF/INFT/18234723632/Yorkshire Groceries
fake_185,PAID FOR VISA PROC FEE,Paid - Visa Application Processing Fee
fake_186,897128/Closure Proceeds,Barclays FDR CLOSED NO. 897128
fake_187,NEFT-N7362873627342-Nike Sports,NEFT-N7362873627342-Nike
fake_188,PAYPAL TRANSFER IN,Received Transfer - PayPal
fake_189,Transfer via Blockchain Wallet,BLOCKCHAIN WALLET TRANSFER
fake_190,RTGS-7361824828-Ducati Motors,RTGS-7361824828-Ducati
fake_191,436541291/British Airways,INF/INFT/436541291/British Airways
fake_192,RTGS-RBI2635273826-WHO Emergency Fund,RTGS-RBI2635273826-World Health Org
fake_193,CHECK DEPOSIT: COCA-COLA,Deposit from Coca-Cola
fake_194,7981234089/Closure Proceeds,ICICI Bank FDR CLOSED NO. 7981234089
fake_195,NEFT-N7208203793742-Germany University Fees,NEFT-N7208203793742-Uni of Germany
fake_196,Scholarship Amount To Cambridge,Scholarship - Cambridge University
fake_197,RTGS-2636634623684-Harvard University,RTGS-2636634623684-Harvard Uni
fake_198,INF/INFT/83239743024/HP Inc.,83239743024/HP Inc.
fake_199,RECEIVED TRANSFER - GOOGLE ADSENSE,Adsense Payment From Google
fake_200,Freelancer Payment To Mr.John,Payment to John for services
fake_201,Electricity Bill Payment,Payment - Power Corp Electricity Bill
fake_202,NEFT-9057245636287-McDonalds Outlets,NEFT-9057245636287-McDonalds Corp
fake_203,RTGS-635345284795-Zara Stores,RTGS-635345284795-Zara Retail
fake_204,TO TRANSFER-INB Global Investments,GlobalInvestment Fund Transfer
fake_205,NEFT-N736182346268-Walmart Inc.,NEFT-N736182346268-Walmart
fake_206,INF/INFT/3763817263/FASTag Recharge,3763817263/FASTag Recharge
fake_207,4743823846/Closure Proceeds,Standard Chartered FDR CLOSED NO. 4743823846
fake_208,Transferred to International Health Organization,IHO Transfer Fund
fake_209,HSBC To JPMorgan Chase Transfer,HSBC To JPMorgan Account
fake_210,RTGS-45373626-Personal Gym Fee,RTGS-45373626-Gym Membership
fake_211,Paid to Spotify Subscription,Spotify - Subscription Paid
fake_212,TO TRANSFER - YouTube Premium,YouTubePremium Subscription Paid
fake_213,NEFT-N3653732647263-Dominos Pizza,NEFT-N3653732647263-Dominos
fake_214,Pfizer Payment for Vaccines,Payment done to Pfizer Corp
fake_215,87827382/Closure Proceeds,Wells Fargo FDR CLOSED NO. 87827382
fake_216,Recharge to Netflix Subscription,Pay Netflix Subscription
fake_217,NEFT-N6732736425378-OnePlus Store,NEFT-N6732736425378-OnePlus Co.
fake_218,RTGS-47646536363463-Sony Corporation,RTGS-47646536363463-Sony Corp
fake_219,Transfer made to Amnesty International,Amnesty Global Fund Transfer
fake_220,UNICEF Donation Transfer,Donations to UNICEF
fake_221,NEFT-N4736537263874-Shell Petrol Station,NEFT-N4736537263874-Shell Corp
fake_222,Audit Fees Pay to Ernst & Young LLP,Pay EY Audit Services
fake_223,RTGS-735736268526-CISCO Systems,RTGS-735736268526-CISCO Sys
fake_224,UNESCO Fund Donation,Donation Transfer to UNESCO
fake_225,Dues cleared for WHO,Paid to WHO account
fake_226,TO TRANSFER - Adobe Subscription,Adobe Cloud Subscription Paid
fake_227,Dues paid to Tesla Inc.,Tesla Inc payment done
fake_228,NEFT-N5366268434-Uber Ride Services,NEFT-N5366268434-Uber Corp.
fake_229,RTGS-735732823672-Johnson & Johnson,RTGS-735732823672-J&J Pharmacy
fake_230,Paid for NYTimes Subscription,Payment done for NYTimes
fake_231,Rent to Morgan Properties,Rent Paid To Morgan Properties
fake_232,NEFT-N746274362743-Korean Airlines,NEFT-N746274362743-Korean Airways
fake_233,Payment Made to Carrefour Markets,Carrefour Market Payment Done
fake_234,RTGS-653526387263823-Puma Sports,RTGS-653526387263823-Puma Inc
fake_235,UNDP Fund Transfer Made,Transferred to UNDP
fake_236,Paid to WorldFoodProgram,WFP payment done
fake_237,NEFT-N7327632673-Mercedes-Benz,NEFT-N7327632673-Mercedes
fake_238,RTGS-7623876328238-BMW Motors,RTGS-7623876328238-BMW Auto
fake_239,TO TRANSFER - HULU Subscription,Hulu Streaming Package Paid
fake_240,Transferred to International Cancer Research,ICR Fund Transfer
fake_241,NEFT-N53726638726-FIFPro,NEFT-N53726638726-FIFPro Services
fake_242,RTGS-736285296282-WHO,RTGS-736285296282-WorldHealthOrg
fake_243,Donations to International Development Program,IDP Donation Transfer
fake_244,NEFT-N53726382673-Novartis Pharmaceuticals,NEFT-N53726382673-Novartis Pharma
fake_245,Rent to John Smith,Rent Paid To John Smith
fake_246,RTGS-763276382736-Sanofi Health,RTGS-763276382736-Sanofi
fake_247,TO TRANSFER - ESPN Subscription,ESPN Streaming Package Paid
fake_248,Paid to Nestle for Products,Nestle Inc payment done
fake_249,Tranferred to Roche for Medicines,Roche Inc Transfer Made
fake_250,NEFT-N5726328732-Samsung Pay,NEFT-N5726328732-Samsung Group
fake_251,Donations to Fox News,Fox News Donation Paid
fake_252,RTGS-7367236739-Apple Pay,RTGS-7367236739-Apple Corp
fake_253,Transfer to ESPN Sports,ESPN - Payment Done
fake_254,Transferred to CNBC Live,CNBC - Live Subscriptions
fake_255,INF/INFT/014395627839/NEPTUNE AGENCY,014395627839/NEPTUNE AGENCY
fake_256,INF/INFT/056294738105/ALPHA INDUSTRIES,056294738105/ALPHA INDUSTRIES Delivery
fake_257,037196205870/Funds Transferred to OrionStruct,INF/INFT/037196205870/FundTransfer to OrionStruct/ACME Corp
fake_258,Transfer to Yashvardhan Mishra,860101501483/Yashvardhan Mishra/2022113095570 ICIC0008601 860101501483 Yashvardhan Mishra
fake_259,RECEIVED Transfer HARLEY DAVIDSON INC,Received from HDINC
fake_260,RTGS-PTIR52041102000141678-PRISM RETAILS-922020018816453-SCBL0036001,RTGS-PTIR52041102000141678-PRISM RETAIL Outbound
fake_261,822410007535: Account Closure Proceeds,HDFC Account CLOSED NO. 822410007535
fake_262,Received from UBL,RECEIVED TRANSFER UNITED Bank LIMITED
fake_263,AUTO ENTRIES D/BILLS D D INSURANCE PRM SEP 27,NONREF /TYPE/998/AUTO D 42-45-DINS0927 D Dental Insurance PRM
fake_264,HYD TO BLR,TO TRANSFER-INB AIRTEL
fake_265,NEFT-N357392216446274-TEXTILEMANIA,NEFT-N357392216446274-Textilemania PVT LTD-KIRBY-00140330006278-HDFC0000240
fake_266,610040021567173 : Closure Proceeds,AXIS ACC CLOSED NO. 610040021567173
fake_267,COMM ON INTERNATIONAL BILL UNDER LC,COMM ON INTERNATIONAL BILL
fake_268,TO TRANSFER-INB VODAFONE PAYMENT--,708600015
fake_269,IDBN25035636182-PHARMATECH INDUSTRIES LIMITED,NEFT-IDBN25035636182-PHARMATECH INDUSTRIES LIMITED-4200110880-650014172188-INDB0000006
fake_270,ICICI FDR NO. 035910006364,TRF TO FD no. 035910006361
fake_271,BLR SBI TO MUM HSBC,TO TRANSFER-INB RTGS UTR NO: SBINR12022093007379189--KIRBY BLR HSBC ACCOUNT
fake_272,TRF TO FD no. 010810099273,CA02/29052022 00082
fake_273,RTGS-HBINR22022014501971234-SURYA STEELS PRIVATEL,RTGS-HBINR22022014501971234-SURYA STEELS PRIVATELIMITED-507801010036030-HBIN05
fake_274,INF/INFT/049584958581/HUDSON BAY,INF/INFT/049584958581/HUDSON Bay Industries
fake_275,50100228761640/Himanshu Gupta/20220109600689 HDFC0000052 50100228761640 Himanshu Gupta,Payment against inv Mr. Gupta
fake_276,INF/INFT/014395628339/INDIGO AGENCY,014395628339/INDIGO AGENCY
fake_277,INF/INFT/056294737115/MANGO INDUSTRIES,056294737115/MANGO INDUSTRIES Delivery
fake_278,037196205880/Funds Transferred to SriStruct,INF/INFT/037196205880/FundTransfer to SriStruct/ASUS Corp
fake_279,Transfer to Hitesh Bodke,860101502583/Hitesh Bodke/2022133095780 ICIC0008601 860101502583 Hitesh Bodke
fake_280,RECEIVED Transfer BRITANNIA INDUSTRIES,Received from BritInd
fake_281,RTGS-PTIR52041102000141688-DIVERGE RETAILS-922020018836453-SCBL0036011,RTGS-PTIR52041102000141688-DIVERGE RETAIL Outbound
fake_282,822410028435: Account Closure Proceeds,HDFC Account CLOSED NO. 822410028435
fake_283,Received from DBBL,RECEIVED TRANSFER DUTCH BANGLA Bank LIMITED
fake_284,AUTO ENTRIES D/LOAN D D INSURANCE PRM JAN 28,NONREF /TYPE/991/AUTO D 41-46-DINS0128 D Life Insurance PRM
fake_285,DEL TO BOM,TO TRANSFER-INB JIO
fake_286,NEFT-N357392271746274-FASHIONOVA,NEFT-N357392271746274-Fashionova PVT LTD-KIRBY-00140330006878-HDFC0000241
fake_287,620040021578173 : Closure Proceeds,AXIS ACC CLOSED NO. 620040021578173
fake_288,COMM ON DOMESTIC BILL UNDER LC,COMM ON DOMESTIC BILL
fake_289,TO TRANSFER-INB IDEA PAYMENT--,708600019
fake_290,IDBN25035636192-DR.REDDY LABORATORIES LTD,NEFT-IDBN25035636192-DR.REDDY LAB LIMITED-4200110883-650014172198-INDB0000007
fake_291,ICICI FDR NO. 045910006374,TRF TO FD no. 045910006371
fake_292,DEL SBI TO CHE HSBC,TO TRANSFER-INB RTGS UTR NO: SBINR32022093007379190--KIRBY DEL HSBC ACCOUNT
fake_293,TRF TO FD no. 010810099275,CA02/29052022 00083
fake_294,RTGS-HBINR42022014510971234-RUDRA STEELS PRIVATEL,RTGS-HBINR42022014510971234-RUDRA STEELS PRIVATELIMITED-507801010036031-HBIN05
fake_295,INF/INFT/044594958591/OXFORD BAY,INF/INFT/044594958591/OXFORD Bay Pty Ltd
fake_296,60100228761650/Rahul Roy/20230109600789 HDFC0000053 60100228761650 Rahul Roy,Payment against inv Mr. Roy
